FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
619,Meghalaya,SOUTH WEST GARO HILLS,21.982,21.316,21.829,22.067,22.368,21.781,22.244,21.871,22.283,22.459,22.451,22.38,21.792,21.699,21.836,22.196,21.751,22.874,22.965,21.747,22.429,21.738,21.084,22.286,21.943,22.206,22.32,21.48,23.743,22.958,22.44,22.308,22.704,22.567,22.161,22.436,22.651,22.802,22.9,22.379,22.682,22.252,21.573,22.196,22.778,22.235,23.593,23.197,21.844,22.642,23.358,23.111
620,Meghalaya,SOUTH WEST KHASI HILLS,18.574,18.135,18.937,18.621,18.891,17.568,18.496,18.173,19.047,18.773,18.816,18.811,18.093,18.531,18.365,18.782,18.247,19.142,19.56,18.059,18.857,17.796,18.008,18.726,18.562,19.257,19.165,18.537,20.25,19.521,18.941,19.108,19.024,18.988,18.84,18.955,19.08,19.152,19.472,19.13,19.438,18.884,18.432,18.933,19.572,18.972,20.169,19.795,18.564,19.373,20.304,19.831
621,Meghalaya,WEST GARO HILLS,19.332,18.847,19.327,19.445,19.709,19.069,19.558,19.135,19.652,19.702,19.742,19.654,19.123,19.122,19.21,19.468,19.152,20.113,20.27,19.158,19.723,19.055,18.596,19.602,19.309,19.709,19.727,18.965,20.958,20.241,19.747,19.694,19.961,19.823,19.507,19.774,19.967,20.075,20.188,19.74,20.016,19.652,19.074,19.541,20.045,19.555,20.745,20.425,19.249,19.922,20.64,20.405
622,Meghalaya,WEST JAINTIA HILLS,19.322,18.71,19.52,19.053,19.878,18.426,19.221,19.157,19.895,19.638,19.602,19.704,19.056,19.445,19.131,19.905,18.959,19.922,20.207,18.546,19.557,18.433,18.762,19.467,19.185,19.97,19.909,19.342,21.011,20.245,19.656,19.813,19.723,19.623,19.575,19.644,19.596,19.804,20.219,19.9,20.178,19.599,19.143,19.673,20.378,19.717,20.929,20.539,19.301,20.137,21.077,20.609
623,Meghalaya,WEST KHASI HILLS,18.605,18.178,18.888,18.558,18.877,17.577,18.52,18.107,18.966,18.695,18.825,18.809,18.097,18.505,18.332,18.796,18.169,19.113,19.49,18.022,18.781,17.839,17.896,18.685,18.447,19.196,19.09,18.495,20.251,19.465,18.855,19.022,18.972,18.895,18.705,18.874,18.926,19.167,19.435,19.076,19.379,18.855,18.366,18.864,19.525,18.877,20.129,19.715,18.476,19.3,20.216,19.783
624,Mizoram,AIZAWL,21.476,21.33,22.41,22.077,22.992,21.771,22.072,22.017,22.586,22.642,22.297,22.957,22.049,22.341,22.171,22.357,21.967,22.604,23.339,21.428,22.273,21.685,21.945,22.652,22.305,23.143,23.193,22.499,24.07,23.335,22.85,23.009,23.011,23.055,22.911,23.122,23.305,22.718,23.232,22.93,23.351,22.811,22.564,22.945,23.49,22.998,24.101,23.625,22.272,23.095,23.881,23.573
625,Mizoram,CHAMPHAI,21.217,21.067,22.119,21.806,22.768,21.607,21.777,21.749,22.268,22.347,21.992,22.708,21.786,22.052,21.888,22.06,21.622,22.237,23.062,21.142,21.959,21.45,21.69,22.374,22.02,22.861,22.916,22.218,23.787,23.053,22.566,22.733,22.744,22.806,22.628,22.838,23.036,22.442,22.952,22.655,23.072,22.54,22.291,22.666,23.212,22.716,23.825,23.345,21.987,22.814,23.595,23.295
626,Mizoram,KOLASIB,21.568,21.441,22.499,22.164,23.048,21.789,22.179,22.091,22.781,22.784,22.486,23.021,22.105,22.478,22.272,22.483,22.16,22.879,23.439,21.547,22.408,21.666,21.931,22.728,22.408,23.225,23.263,22.587,24.161,23.423,22.933,23.091,23.077,23.109,22.998,23.208,23.345,22.791,23.313,23.015,23.438,22.897,22.648,23.034,23.578,23.086,24.187,23.712,22.36,23.183,23.97,23.66
627,Mizoram,LAWNGTLAI,21.649,21.512,22.685,22.339,23.21,22.039,22.347,22.254,22.787,22.841,22.483,23.158,22.281,22.542,22.404,22.566,22.207,22.774,23.577,21.683,22.591,22.012,22.33,22.912,22.57,23.401,23.444,22.756,24.294,23.543,23.124,23.269,23.279,23.345,23.16,23.373,23.587,22.985,23.493,23.202,23.614,23.072,22.813,23.198,23.741,23.27,24.358,23.884,22.544,23.355,24.139,23.829
628,Mizoram,LUNGLEI,22.007,21.859,23.021,22.68,23.551,22.384,22.684,22.594,23.126,23.18,22.822,23.5,22.622,22.883,22.741,22.906,22.546,23.115,23.916,22.022,22.93,22.351,22.668,23.252,22.909,23.744,23.792,23.097,24.662,23.924,23.46,23.614,23.622,23.687,23.507,23.724,23.927,23.324,23.831,23.54,23.953,23.411,23.156,23.538,24.084,23.605,24.698,24.227,22.88,23.7,24.484,24.176
