FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
626,Mizoram,KOLASIB,27.388,26.817,27.355,27.529,27.122,27.563,27.105,27.601,27.853,27.965,28.085,27.983,27.857,27.946,27.576,27.635,27.834,27.858,27.652,27.487,27.196,27.603,27.739,27.27,28.44,28.052,27.949,27.693,28.25,28.1,27.905,28.27,28.027,28.276,27.955,28.535,28.55,28.218,28.232,28.698,28.482,28.417,28.339,28.732,28.605,28.35,28.647,28.176,28.596,28.785,28.714,28.518
627,Mizoram,LAWNGTLAI,27.657,26.967,27.593,27.779,27.333,27.806,27.313,27.762,27.982,28.109,28.189,28.094,28.014,28.163,27.774,27.835,27.982,27.915,27.907,27.785,27.584,28.082,28.313,27.531,28.689,28.307,28.208,27.828,28.51,28.325,28.178,28.536,28.307,28.573,28.211,28.786,28.742,28.502,28.496,28.956,28.747,28.672,28.608,28.987,28.868,28.609,28.91,28.447,28.857,29.055,28.988,28.779
628,Mizoram,LUNGLEI,27.821,27.152,27.792,27.971,27.526,28.005,27.506,27.954,28.175,28.303,28.385,28.288,28.207,28.356,27.968,28.028,28.175,28.108,28.101,27.976,27.756,28.277,28.507,27.717,28.882,28.501,28.401,28.025,28.698,28.545,28.37,28.729,28.495,28.769,28.403,28.98,28.934,28.695,28.691,29.151,28.939,28.87,28.798,29.181,29.061,28.804,29.104,28.636,29.053,29.245,29.177,28.975
629,Mizoram,MAMIT,27.905,27.247,27.881,28.08,27.627,28.101,27.642,28.1,28.357,28.508,28.565,28.477,28.355,28.44,28.062,28.134,28.396,28.406,28.197,28.063,27.872,28.185,28.385,27.814,28.986,28.603,28.5,28.132,28.8,28.656,28.475,28.827,28.592,28.869,28.503,29.086,29.084,28.795,28.791,29.249,29.035,28.967,28.89,29.28,29.156,28.901,29.201,28.731,29.153,29.346,29.273,29.075
630,Mizoram,SAIHA,27.397,26.679,27.293,27.477,27.031,27.506,27.011,27.46,27.679,27.805,27.886,27.791,27.712,27.861,27.472,27.532,27.677,27.609,27.605,27.481,27.269,27.782,28.012,27.225,28.386,28.005,27.906,27.53,28.203,28.037,27.875,28.235,28.002,28.274,27.91,28.484,28.439,28.201,28.196,28.657,28.445,28.376,28.305,28.688,28.565,28.309,28.609,28.143,28.555,28.746,28.681,28.479
631,Mizoram,SERCHHIP,27.698,27.08,27.666,27.835,27.39,27.877,27.37,27.82,28.039,28.164,28.253,28.151,28.071,28.22,27.834,27.892,28.037,27.969,27.965,27.838,27.593,28.144,28.373,27.583,28.746,28.365,28.266,27.894,28.563,28.416,28.234,28.594,28.361,28.634,28.268,28.846,28.799,28.561,28.559,29.016,28.803,28.735,28.663,29.047,28.925,28.669,28.968,28.499,28.916,29.106,29.038,28.836
632,Nagaland,DIMAPUR,27.719,27.551,27.659,27.882,27.263,27.765,27.176,27.725,27.851,27.799,28.215,27.982,27.786,28.1,27.733,27.665,27.56,27.327,27.576,27.24,26.791,27.654,27.331,27.426,28.243,27.703,27.709,27.685,27.937,27.893,27.547,28.174,27.822,27.881,27.664,28.171,27.763,28.027,28.212,28.534,28.093,28.307,27.68,28.725,28.319,28.246,28.429,27.956,28.311,28.222,28.186,28.107
633,Nagaland,KIPHIRE,27.724,27.638,27.668,27.982,27.319,27.714,27.225,27.6,27.947,27.966,28.062,27.984,27.692,27.709,27.551,27.437,27.442,27.185,27.61,27.41,26.57,27.555,27.338,27.366,28.264,27.618,27.693,27.652,27.909,27.874,27.495,28.147,27.789,27.833,27.568,28.089,28.107,27.953,28.052,28.539,27.924,28.337,27.539,28.725,28.233,28.184,28.38,28.029,28.245,28.126,28.018,28.045
634,Nagaland,KOHIMA,27.589,27.412,27.374,27.725,27.105,27.549,26.953,27.45,27.627,27.582,27.899,27.763,27.578,27.824,27.506,27.415,27.335,27.086,27.402,27.102,26.444,27.419,27.18,27.204,28.047,27.484,27.508,27.477,27.714,27.695,27.338,27.96,27.624,27.674,27.441,27.955,27.64,27.814,27.981,28.331,27.862,28.109,27.448,28.543,28.087,28.046,28.23,27.762,28.095,27.961,27.921,27.844
635,Nagaland,LONGLENG,27.939,27.928,27.951,28.279,27.514,27.948,27.639,27.81,28.297,28.377,28.365,28.275,27.869,27.663,27.676,27.809,27.941,27.632,27.83,27.685,27.108,27.749,27.577,27.595,28.502,27.837,27.916,27.801,28.012,28.075,27.717,28.385,27.991,28.055,27.777,28.315,28.325,27.992,28.062,28.76,28.131,28.539,27.431,28.78,28.371,28.277,28.56,28.325,28.51,28.36,27.956,28.392
