FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
84,Uttar Pradesh,BUDAUN,15.613,15.31,14.972,16.476,15.185,15.006,16.645,15.881,15.327,15.829,16.208,15.946,15.608,14.426,14.585,14.72,15.574,16.781,16.637,14.941,16.099,15.721,14.838,16.355,16.163,15.135,15.838,14.947,15.147,14.91,14.852,15.14,15.447,13.859,14.857,15.656,18.005,15.94,14.876,17.051,15.733,15.032,14.86,14.454,14.359,15.651,16.899,16.316,16.014,14.97,14.75,16.238
85,Uttar Pradesh,BULANDSHAHR,15.107,14.97,14.503,16.007,14.521,14.27,16.289,15.374,14.775,15.645,15.917,15.83,15.088,14.211,13.886,15.193,14.957,16.538,16.576,14.535,16.253,15.252,14.767,16.218,15.703,14.878,15.569,14.648,15.053,14.829,14.432,14.741,15.052,13.852,14.707,14.915,17.604,15.59,14.49,16.525,15.246,14.741,14.711,14.155,14.06,15.343,16.454,15.971,15.579,14.822,14.616,15.639
86,Maharashtra,BULDHANA,23.173,22.408,21.529,23.288,22.035,21.353,21.836,22.737,21.54,22.814,23.476,22.167,22.864,22.399,22.158,22.997,22.593,22.777,23.822,22.212,22.977,22.505,21.429,22.363,22.382,21.183,23.988,20.892,22.368,22.28,21.912,23.264,22.604,23.537,22.517,22.204,23.36,22.785,21.461,24.637,22.36,21.991,22.281,22.867,22.509,22.096,24.026,23.135,23.119,22.009,21.903,23.585
87,Rajasthan,BUNDI,17.749,16.954,16.659,18.145,16.631,16.185,18.478,17.707,16.43,17.242,17.979,17.782,17.12,16.284,16.193,17.504,17.195,18.308,18.857,17.299,18.528,18.24,17.514,18.858,18.237,17.166,17.366,17.132,17.01,17.042,16.602,18.195,17.898,17.836,18.173,17.111,20.29,19.567,16.594,19.755,18.759,17.608,16.88,17.092,16.595,17.98,18.884,18.272,19.14,17.02,16.964,18.548
88,Madhya Pradesh,BURHANPUR,22.866,22.044,21.141,22.591,21.208,20.698,21.668,22.159,21.163,22.425,22.887,21.708,22.405,21.754,21.379,22.379,22.361,22.582,23.595,21.747,22.913,22.004,21.197,22.14,22.065,20.776,23.437,20.703,21.913,22.053,21.432,22.882,22.144,23.067,22.007,21.54,23.2,22.393,20.51,24.144,21.818,21.309,21.449,21.916,21.867,21.282,23.117,22.636,22.664,21.276,21.183,22.959
89,Bihar,BUXAR,17.715,17.47,16.927,18.934,17.194,16.286,17.126,16.927,16.098,17.441,16.874,16.982,17.22,15.661,15.839,16.875,16.834,17.637,17.458,15.638,15.914,16.912,15.914,16.36,17.099,16.383,16.746,16.023,16.644,16.735,15.617,16.226,17.243,14.883,15.231,17.371,18.733,17.051,16.498,18.007,15.63,16.02,16.907,16.089,15.643,16.914,17.814,17.503,15.779,16.904,15.906,16.55
90,Karnataka,CHAMRAJANAGAR,20.239,20.248,19.425,20.786,19.731,20.44,19.183,20.407,20.919,20.702,20.192,20.865,20.368,20.821,20.569,21.273,20.535,20.234,20.763,20.615,20.564,21.223,20.407,20.446,21.044,20.65,20.492,20.311,21.636,20.472,20.976,21.223,20.574,21.723,21.502,21.511,20.571,20.516,20.844,20.877,21.339,20.606,20.575,21.312,21.181,20.587,21.513,21.05,20.779,21.219,21.82,21.057
91,Uttar Pradesh,CHANDAULI,17.421,17.018,16.652,18.938,16.969,16.447,17.14,16.741,16.174,17.417,17.508,17.468,17.23,15.784,15.992,17.034,16.842,17.675,17.575,15.833,16.413,17.03,16.266,16.781,17.234,16.473,17.11,16.358,16.942,17.097,16.027,16.561,17.439,15.187,15.559,17.607,18.81,17.262,16.577,18.171,15.944,16.392,16.768,15.985,15.923,16.784,18.018,17.55,16.563,17.021,16.072,17.003
92,Maharashtra,CHANDRAPUR,24.05,23.274,22.371,24.492,22.718,22.135,22.346,23.947,22.61,23.228,24.346,22.538,23.844,23.056,22.977,23.446,22.534,22.794,24.423,23.014,23.303,23.032,22.719,23.107,23.455,21.845,24.392,21.539,23.44,22.927,22.687,23.813,23.521,24.078,22.542,22.96,23.442,23.229,22.903,25.174,22.917,22.168,22.985,22.78,22.798,22.157,24.683,23.316,23.017,22.489,22.092,23.557
93,Haryana,CHARKHI DADRI,14.269,14.542,14.064,15.343,13.472,13.289,15.945,14.639,14.042,15.047,15.229,15.792,14.486,14.186,13.211,15.11,14.511,16.293,16.459,14.265,16.065,14.969,14.806,16.148,15.343,14.746,15.259,14.393,14.955,14.943,14.039,15.009,14.937,14.053,14.938,14.525,17.687,15.645,14.025,16.707,15.472,14.275,13.857,14.279,14.067,15.283,15.941,15.917,16.013,14.469,14.376,15.406
94,Jharkhand,CHATRA,18.016,16.868,16.436,19.176,16.996,16.965,17.95,18.24,16.557,17.95,18.418,17.338,18.023,16.606,16.709,17.626,17.461,17.781,17.882,16.418,17.381,17.895,16.609,17.739,17.786,16.808,17.507,16.707,17.316,17.864,17.049,17.666,17.922,16.205,16.694,18.228,19.519,17.805,17.048,19.593,17.208,17.328,17.631,17.195,17.05,18.095,19.07,18.465,17.591,17.626,16.864,17.985
95,Tamil Nadu,CHENNAI,25.315,25.178,24.289,25.903,24.101,25.424,24.089,25.163,25.616,25.86,25.356,25.371,25.149,26.125,25.436,25.459,24.839,25.185,25.558,24.835,25.691,25.932,25.359,25.213,25.823,25.327,25.341,25.451,27.135,25.23,26.083,25.892,25.626,26.304,25.412,26.213,25.463,25.857,25.809,25.816,25.944,25.866,26.003,26.348,25.831,25.728,26.554,25.774,25.545,25.96,26.369,26.05
