FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
615,Meghalaya,EAST KHASI HILLS,20.731,20.164,20.414,20.759,20.345,20.266,20.612,20.379,20.722,21.032,20.964,20.591,20.509,20.371,20.343,20.606,20.578,20.993,20.96,20.326,20.59,20.227,20.16,20.058,20.943,20.992,21.048,20.437,21.194,21.677,20.645,21.06,20.863,20.856,20.921,21.09,21.376,21.017,21.114,21.691,21.438,21.071,20.69,21.459,21.542,21.188,21.597,21.258,21.067,21.468,21.426,21.898
616,Meghalaya,NORTH GARO HILLS,22.171,21.75,21.977,22.425,21.824,21.752,22.185,21.818,22.12,22.475,22.283,22.155,21.955,21.692,21.801,22.061,21.995,22.507,22.619,21.989,22.145,22.051,21.889,21.579,22.385,22.474,22.533,21.828,22.755,23.093,22.164,22.557,22.354,22.197,22.265,22.683,23.057,22.649,22.638,23.162,23.0,22.603,22.224,22.938,22.954,22.556,23.09,22.736,22.503,22.912,22.742,23.338
617,Meghalaya,RI BHOI,21.532,21.159,21.233,21.627,21.03,21.119,21.48,21.16,21.531,21.771,21.767,21.469,21.304,21.151,21.06,21.413,21.315,21.707,21.725,21.036,21.421,20.896,20.918,20.815,21.614,21.651,21.691,21.215,21.957,22.403,21.336,21.823,21.641,21.48,21.577,21.739,21.921,21.832,21.917,22.439,22.133,21.84,21.33,22.23,22.317,21.934,22.279,21.986,21.806,22.145,22.139,22.645
618,Meghalaya,SOUTH GARO HILLS,20.651,20.26,20.529,20.922,20.385,20.366,20.62,20.353,20.602,21.058,20.788,20.661,20.553,20.349,20.374,20.567,20.544,20.97,21.034,20.453,20.598,20.284,20.121,20.102,20.946,20.974,21.02,20.319,21.16,21.621,20.669,21.06,20.861,20.788,20.894,21.184,21.567,21.072,21.104,21.647,21.475,21.049,20.78,21.397,21.434,21.088,21.599,21.234,21.018,21.446,21.32,21.818
619,Meghalaya,SOUTH WEST GARO HILLS,24.512,23.82,24.057,24.641,24.086,24.348,24.502,24.138,24.258,24.872,24.555,24.575,24.389,23.979,23.94,24.437,24.287,24.719,24.872,24.286,24.523,24.4,23.86,23.878,24.728,24.485,24.677,24.131,24.975,25.353,24.485,24.806,24.663,24.553,24.613,24.945,25.413,24.986,24.908,25.396,25.175,24.722,24.316,25.166,25.163,24.781,25.383,25.166,24.774,25.171,24.878,25.528
620,Meghalaya,SOUTH WEST KHASI HILLS,20.754,20.287,20.483,20.889,20.313,20.242,20.609,20.37,20.673,21.041,20.915,20.588,20.503,20.345,20.34,20.59,20.528,20.957,21.006,20.405,20.591,20.231,20.118,20.047,20.92,20.966,21.016,20.357,21.175,21.659,20.619,21.039,20.839,20.835,20.884,21.089,21.406,21.029,21.099,21.67,21.434,21.057,20.675,21.437,21.504,21.14,21.575,21.233,21.032,21.437,21.37,21.867
621,Meghalaya,WEST GARO HILLS,21.538,21.035,21.241,21.693,21.188,21.404,21.541,21.231,21.398,21.875,21.628,21.579,21.432,21.092,21.098,21.476,21.375,21.794,21.923,21.384,21.57,21.423,21.047,21.013,21.776,21.647,21.779,21.244,22.022,22.352,21.547,21.846,21.688,21.589,21.665,21.988,22.391,22.001,21.947,22.389,22.202,21.827,21.488,22.162,22.153,21.814,22.339,22.149,21.84,22.143,21.939,22.533
622,Meghalaya,WEST JAINTIA HILLS,21.612,20.813,21.175,21.406,21.161,21.137,21.396,21.269,21.605,21.797,21.905,21.442,21.385,21.291,21.216,21.548,21.308,21.71,21.563,20.889,20.967,20.921,20.924,20.752,21.629,21.679,21.76,21.185,21.929,22.373,21.362,21.775,21.588,21.497,21.585,21.741,21.973,21.715,21.818,22.399,22.116,21.794,21.34,22.183,22.269,21.903,22.266,21.95,21.764,22.134,22.114,22.602
623,Meghalaya,WEST KHASI HILLS,20.742,20.333,20.498,20.897,20.312,20.274,20.652,20.381,20.68,21.018,20.918,20.638,20.526,20.337,20.348,20.607,20.518,20.952,20.998,20.37,20.573,20.251,20.104,20.049,20.894,20.945,20.999,20.394,21.211,21.651,20.611,21.038,20.837,20.786,20.814,21.069,21.324,21.067,21.114,21.666,21.428,21.074,20.643,21.44,21.496,21.113,21.545,21.214,21.01,21.398,21.323,21.855
624,Mizoram,AIZAWL,23.875,23.412,23.941,24.151,24.08,24.275,24.027,23.903,24.133,24.661,24.291,24.274,24.279,24.091,24.096,24.307,24.24,24.404,24.424,23.988,23.787,24.027,24.193,23.791,24.638,24.76,24.814,24.026,24.835,25.356,24.329,24.748,24.632,24.721,24.714,24.986,25.385,24.65,24.81,25.372,25.299,24.782,24.721,25.2,25.318,25.075,25.483,24.946,24.647,25.1,24.998,25.415
625,Mizoram,CHAMPHAI,23.612,23.187,23.747,23.907,23.849,24.123,23.756,23.649,23.86,24.38,24.028,24.005,24.028,23.835,23.857,24.054,23.945,24.071,24.141,23.741,23.502,23.819,24.002,23.541,24.378,24.505,24.561,23.743,24.579,25.099,24.071,24.496,24.383,24.481,24.451,24.729,25.131,24.403,24.561,25.12,25.047,24.533,24.469,24.945,25.067,24.824,25.231,24.693,24.391,24.84,24.747,25.158
626,Mizoram,KOLASIB,23.919,23.451,23.971,24.186,24.127,24.264,24.084,23.966,24.25,24.767,24.414,24.376,24.338,24.152,24.152,24.352,24.341,24.603,24.528,24.003,23.837,23.956,24.047,23.821,24.68,24.795,24.845,24.088,24.873,25.393,24.368,24.782,24.656,24.736,24.752,25.023,25.419,24.669,24.833,25.407,25.335,24.817,24.755,25.237,25.355,25.111,25.518,24.981,24.683,25.137,25.035,25.452
627,Mizoram,LAWNGTLAI,24.202,23.605,24.209,24.464,24.349,24.546,24.344,24.176,24.364,24.932,24.512,24.495,24.529,24.355,24.355,24.577,24.535,24.64,24.702,24.326,24.236,24.419,24.649,24.104,24.954,25.067,25.123,24.296,25.133,25.607,24.641,25.058,24.947,25.039,25.03,25.289,25.694,24.965,25.122,25.686,25.614,25.085,25.04,25.502,25.625,25.386,25.795,25.263,24.963,25.418,25.316,25.726
628,Mizoram,LUNGLEI,24.478,23.888,24.486,24.728,24.614,24.819,24.607,24.439,24.629,25.196,24.782,24.76,24.794,24.619,24.62,24.842,24.8,24.906,24.967,24.589,24.486,24.684,24.914,24.366,25.217,25.336,25.389,24.563,25.404,25.92,24.905,25.325,25.209,25.307,25.29,25.561,25.958,25.23,25.387,25.951,25.876,25.355,25.298,25.769,25.891,25.65,26.061,25.526,25.228,25.683,25.581,25.995
629,Mizoram,MAMIT,24.617,24.039,24.604,24.858,24.75,24.947,24.778,24.595,24.845,25.427,25.011,24.973,24.954,24.78,24.761,24.986,25.034,25.257,25.182,24.703,24.637,24.665,24.823,24.499,25.355,25.473,25.524,24.705,25.543,26.071,25.05,25.461,25.343,25.444,25.426,25.697,26.106,25.366,25.523,26.083,26.01,25.49,25.43,25.907,26.026,25.785,26.195,25.659,25.362,25.819,25.717,26.131
630,Mizoram,SAIHA,23.765,23.162,23.8,24.05,23.935,24.134,23.927,23.76,23.949,24.514,24.096,24.08,24.115,23.939,23.94,24.16,24.117,24.221,24.285,23.91,23.813,24.004,24.234,23.688,24.536,24.657,24.709,23.883,24.727,25.214,24.225,24.644,24.531,24.627,24.613,24.881,25.278,24.552,24.708,25.273,25.198,24.676,24.624,25.089,25.212,24.972,25.382,24.847,24.548,25.001,24.898,25.315
631,Mizoram,SERCHHIP,24.276,23.743,24.316,24.535,24.422,24.637,24.412,24.246,24.437,25.0,24.593,24.567,24.601,24.425,24.427,24.647,24.604,24.709,24.771,24.394,24.27,24.492,24.721,24.174,25.023,25.143,25.197,24.373,25.212,25.738,24.711,25.132,25.017,25.115,25.095,25.369,25.765,25.038,25.195,25.757,25.683,25.165,25.106,25.578,25.699,25.458,25.869,25.332,25.033,25.487,25.385,25.8
632,Nagaland,DIMAPUR,23.409,23.173,23.439,23.828,23.506,23.745,23.376,23.302,23.53,23.746,23.642,23.609,23.545,23.324,23.392,23.614,23.168,23.25,23.363,22.881,22.431,23.051,22.741,23.114,23.47,23.595,23.685,23.075,23.838,24.273,23.182,23.722,23.617,23.425,23.411,23.649,23.654,23.724,23.82,24.358,24.079,23.927,23.403,24.228,24.314,24.098,24.268,23.928,23.691,23.826,23.915,24.335
633,Nagaland,KIPHIRE,23.043,22.991,23.058,23.655,23.252,23.295,22.997,22.893,23.223,23.569,23.185,23.381,23.182,22.778,23.035,23.045,22.787,22.847,23.156,22.804,22.037,22.817,22.354,22.914,23.218,23.313,23.429,22.816,23.661,24.051,22.933,23.493,23.412,23.261,23.141,23.26,23.735,23.572,23.534,24.171,23.641,23.784,23.107,23.958,24.032,23.845,23.967,23.806,23.543,23.57,23.69,24.121
634,Nagaland,KOHIMA,23.155,22.961,23.058,23.631,23.216,23.438,23.001,22.944,23.182,23.464,23.227,23.346,23.264,22.983,23.157,23.262,22.873,22.939,23.12,22.678,22.06,22.786,22.48,22.858,23.207,23.326,23.422,22.81,23.614,24.023,22.92,23.463,23.37,23.193,23.152,23.36,23.463,23.514,23.558,24.108,23.784,23.702,23.14,23.962,24.029,23.839,23.996,23.692,23.462,23.537,23.654,24.063
635,Nagaland,LONGLENG,23.131,23.201,23.17,23.825,23.407,23.392,23.332,23.011,23.433,23.829,23.387,23.592,23.265,22.753,23.076,23.415,23.165,23.324,23.394,23.01,22.421,22.977,22.469,23.1,23.403,23.487,23.6,22.972,23.734,24.183,23.111,23.672,23.587,23.439,23.304,23.425,23.795,23.709,23.593,24.347,23.8,23.911,23.042,24.041,24.134,23.952,24.037,24.05,23.778,23.762,23.892,24.393
636,Nagaland,MOKOKCHUNG,23.108,23.127,23.137,23.772,23.366,23.361,23.201,22.978,23.369,23.741,23.349,23.517,23.237,22.773,23.072,23.362,23.063,23.203,23.329,22.947,22.337,22.91,22.343,23.032,23.336,23.424,23.536,22.912,23.689,24.127,23.045,23.605,23.517,23.374,23.239,23.361,23.708,23.656,23.558,24.285,23.742,23.854,23.02,23.996,24.084,23.904,23.995,23.971,23.702,23.696,23.825,24.31
637,Nagaland,MON,23.122,23.196,23.16,23.818,23.396,23.382,23.331,23.002,23.426,23.821,23.37,23.588,23.261,22.743,23.067,23.354,23.159,23.318,23.388,23.006,22.43,22.974,22.564,23.097,23.4,23.482,23.595,22.968,23.731,24.179,23.108,23.669,23.597,23.436,23.302,23.42,23.791,23.704,23.586,24.34,23.791,23.909,23.041,24.039,24.129,23.946,24.031,24.047,23.775,23.753,23.886,24.39
638,Nagaland,PEREN,23.418,23.135,23.464,23.769,23.591,23.928,23.553,23.465,23.728,23.861,23.93,23.725,23.731,23.553,23.52,23.814,23.345,23.459,23.567,23.062,22.525,23.277,23.136,23.277,23.685,23.832,23.91,23.299,24.067,24.493,23.395,23.913,23.806,23.68,23.702,23.907,23.894,23.844,24.007,24.547,24.354,24.045,23.626,24.448,24.566,24.301,24.506,24.062,23.805,24.075,24.106,24.553
